label,feature,baseline_pr_auc,mean_pr_auc_drop,std_pr_auc_drop
crisis,roa,0.18960424978075274,0.031466332119642296,0.005674828530444591
crisis,npl_ratio,0.18960424978075274,0.026586897005926757,0.004601450402131629
crisis,roa_sd_3y,0.18960424978075274,-4.4332089237136826e-05,0.0009861856084391
crisis,capital_ratio,0.18960424978075274,0.10316924530445029,0.004691387164045142
crisis,roe,0.18960424978075274,0.03995262952485721,0.0017874975078365975
crisis,asset_growth,0.18960424978075274,0.011384623487490619,0.0022916455135490827
crisis,netinc_sd_3y,0.18960424978075274,-0.002310561847385972,0.000811127419158853
crisis,loan_growth,0.18960424978075274,0.010877703929966087,0.0007918827534727536
crisis,equity_max_decline,0.18960424978075274,-0.0026488799323530045,0.0013937601088987882
crisis,equity_growth,0.18960424978075274,0.0067360064368280625,0.0017233532167891905
crisis,deposit_growth,0.18960424978075274,0.007906209883147618,0.0008400895858308515
crisis,loans_max_decline,0.18960424978075274,-0.004585744486046072,0.0007118803740062821
crisis,assets_max_decline,0.18960424978075274,-0.001275791574150198,0.0005797387270253605
crisis,capital_ratio_chg,0.18960424978075274,0.006151936048969043,0.002685926300650444
crisis,equity_sd_intra,0.18960424978075274,-0.0045161841827696,0.0008895137292725505
crisis,deposits_max_decline,0.18960424978075274,-0.003823377168234393,0.0016978528570678218
crisis,age,0.18960424978075274,-0.00557746621023662,0.003092041022984441
crisis,real_int_rate,0.18960424978075274,-7.366027284103072e-05,0.0024327299003524877
crisis,equity_sd_3y,0.18960424978075274,-0.001263204719759381,0.0008385762463507241
crisis,nim,0.18960424978075274,-0.0028737334286930817,0.0012214168922335402
growth,roa_sd_3y,0.1970210644645956,0.033483463055394055,0.0023626025454478376
growth,roa,0.1970210644645956,0.05463326932028084,0.00358801016668587
growth,roe_chg,0.1970210644645956,0.00819034103575359,0.0024715174205521954
growth,capital_ratio,0.1970210644645956,0.017559271638469515,0.004020970707284777
growth,roe,0.1970210644645956,0.014283664970877014,0.0018080930855065931
growth,roa_chg,0.1970210644645956,0.0073257735314582574,0.001462591780274276
growth,gdp,0.1970210644645956,0.0,0.0
growth,age,0.1970210644645956,0.0015354356234613896,0.0010176138938811615
growth,npl_chg,0.1970210644645956,0.004021152685936535,0.0011916229160999093
growth,prop_ln_re,0.1970210644645956,0.007624783758245835,0.0013434976823873776
growth,prop_ln_cc,0.1970210644645956,0.00038781959921929123,0.0001960788812312618
growth,inflation,0.1970210644645956,0.007548642697905295,0.001469405045843666
growth,prop_ln_cons,0.1970210644645956,0.0004896174312982559,0.0013773067925181288
growth,prop_demand_dep,0.1970210644645956,0.002693771616146423,0.0007488123356781814
growth,npl_ratio,0.1970210644645956,0.001169793047035228,0.0012991082344691715
growth,cost_of_funding,0.1970210644645956,0.006278487016392958,0.0005941318892467435
growth,unemployment,0.1970210644645956,0.015631388483045617,0.0019150840049650204
growth,capital_ratio_chg,0.1970210644645956,-0.0009251472991852805,0.0006911500570312898
growth,equity_sd_intra,0.1970210644645956,0.0002557653766805057,0.00038447511982681645
growth,equity_sd_3y,0.1970210644645956,-0.001833069611441318,0.000616333927999558
