family,label,rank,feature,mean_abs_shap
lgbm,growth,23,prop_ln_cons,0.04324199786813514
lgbm,growth,24,npl_ratio,0.035416734373079184
lgbm,growth,25,prop_ln_ci,0.03528765936795697
lgbm,growth,26,prop_ln_cc,0.01868428375052898
rf,crisis,1,capital_ratio,0.08963887200957514
rf,crisis,2,roa,0.07463388639930478
rf,crisis,3,roe,0.05779881852784826
rf,crisis,4,npl_ratio,0.05384065584906807
rf,crisis,5,gdp,0.03669364516932639
rf,crisis,6,roa_sd_3y,0.023186161723386087
rf,crisis,7,asset_growth,0.023173418477763587
rf,crisis,8,age,0.020136266828428992
rf,crisis,9,loan_growth,0.015349551303269815
rf,crisis,10,prop_ln_cons,0.013206491139795567
rf,crisis,11,roe_chg,0.012897371549263462
rf,crisis,12,equity_sd_3y,0.01108936289982529
rf,crisis,13,prop_demand_dep,0.009914743531502887
rf,crisis,14,nim,0.009246326701916292
rf,crisis,15,deposits_sd_intra,0.009243318105937851
rf,crisis,16,equity_max_decline,0.009129939792206611
rf,crisis,17,equity_growth,0.008532876776943591
rf,crisis,18,capital_ratio_chg,0.007912572014125511
rf,crisis,19,netinc_sd_3y,0.007820355419304856
rf,crisis,20,deposit_growth,0.0077307181289095845
rf,crisis,21,roa_chg,0.0057679836133074204
rf,crisis,22,nim_chg,0.0055190287533249255
rf,crisis,23,num_employees,0.005395741223288197
rf,crisis,24,prop_ln_agr,0.004916272125017432
rf,crisis,25,real_int_rate,0.004913439109554869
rf,crisis,26,prop_ln_re,0.004871839693272282
rf,crisis,27,loans_max_decline,0.004587274257244778
rf,crisis,28,assets_sd_3y,0.004461045760503991
rf,crisis,29,assets_max_decline,0.003587654356822006
rf,crisis,30,inflation,0.0034884698757898847
rf,crisis,31,deposits_max_decline,0.003401541137082666
rf,crisis,32,unemployment,0.003192244310397921
rf,crisis,33,deposits_sd_3y,0.0025739824911474563
rf,crisis,34,equity_sd_intra,0.0025038933848929696
rf,crisis,35,loans_sd_intra,0.002430677094346957
rf,crisis,36,loans_sd_3y,0.002226280280162459
rf,crisis,37,assets_sd_intra,0.002104423903623299
rf,growth,1,roa,0.07682779673561131
rf,growth,2,roa_sd_3y,0.050581549152659035
rf,growth,3,gdp,0.04401984538749058
rf,growth,4,capital_ratio,0.03862645075560294
rf,growth,5,roe_chg,0.020208099083934943
rf,growth,6,roe,0.018878580730715768
rf,growth,7,num_employees,0.017343317304361533
rf,growth,8,prop_ln_re,0.015474841105660235
rf,growth,9,cost_of_funding,0.015144157409302717
rf,growth,10,prop_demand_dep,0.0138253017306111
rf,growth,11,age,0.013443456093182787
rf,growth,12,roa_chg,0.011948444111475155
rf,growth,13,prop_ln_cons,0.01053356110608596
rf,growth,14,unemployment,0.009971505238025704
rf,growth,15,equity_max_decline,0.0089533755616579
rf,growth,16,npl_chg,0.008606871627784715
rf,growth,17,deposit_growth,0.007956326676583901
rf,growth,18,prop_ln_ci,0.007872735032783915
rf,growth,19,capital_ratio_chg,0.0076521800217877675
rf,growth,20,asset_growth,0.006343708772071634
rf,growth,21,npl_ratio,0.0062407144620496525
rf,growth,22,inflation,0.006019040748174305
rf,growth,23,equity_sd_intra,0.005853991688611545
rf,growth,24,equity_sd_3y,0.005800781244893199
rf,growth,25,real_int_rate,0.003830379001236721
rf,growth,26,prop_ln_cc,0.0029224530201145986
