Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
DECISION AND ORDER TO CEASE AND DESIST,1986-03-24,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-85-42b,5062.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51qAAC?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1986-06-16,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-85-18b,5066.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z51uAAC?operationContext=S1
DECISION AND ORDER GRANTING RESPONDENT'S REQUEST FOR SPECIAL PERMISSION TO APPEAL AND DENYING RESPONDENT'S  MOTION TO DISMISS,1986-07-29,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-85-326b,8001A.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4jgAAC?operationContext=S1
DECISION AND ORDER,1987-02-03,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-86-42b,5083.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4z2AAC?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1987-08-04,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-86-41b,5092.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4zmAAC?operationContext=S1
DECISION AND ORDER,1987-12-08,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-86-41b,5096.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z50cAAC?operationContext=S1
Order to Cease and Desist,1988-05-24,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,"FDIC-87-66b,FDIC-87-65b,FDIC-87-69b",5114.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z54MAAS?operationContext=S1
DECISION AND ORDER GRANTING REQUEST FOR SPECIAL PERMISSION TO APPEAL,1988-06-07,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-88-8b,8004.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4rTAAS?operationContext=S1
DECISION AND ORDER GRANTING REQUEST FOR SPECIAL PERMISSION TO APPEAL,1988-06-07,1990-04-25,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-87-222b,8003.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XAAA0?operationContext=S1
DECISION AND ORDER,1988-10-18,1992-12-18,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-87-203b,5120.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5KHAA0?operationContext=S1
DECISION AND ORDER DENYING MOTION FOR STAY PENDING REVIEW,1988-12-13,,Redacted;,0;,N/A;,0;,N/A;,Redacted;,N/A;,N/A;,N/A;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-87-203b,5123.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5KMAA0?operationContext=S1
ORDER TO CEASE AND DESIST,1989-08-09,1992-10-29,FIRST BANK AND TRUST;,0;,N/A;,0;,N/A;,FIRST BANK AND TRUST;,SPRINGTOWN;,TX;,22885;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-164b,10001.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5U5AAK?operationContext=S1
ORDER TO CEASE AND DESIST,1989-08-10,1992-03-31,THE COMMUNITY BANK OF NEBRASKA;,0;,N/A;,0;,N/A;,THE COMMUNITY BANK OF NEBRASKA;,OMAHA;,NE;,21037;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-163b,10001A.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z55dAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-08-14,1991-05-17,FIRST STATE BANK;,0;,N/A;,0;,N/A;,FIRST STATE BANK;,POINT;,TX;,17554;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-153b,10003.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58MAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-08-18,,THE BANK OF PROTECTION;,0;,N/A;,0;,N/A;,THE BANK OF PROTECTION;,PROTECTION;,KS;,23099;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-127b,15003.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58SAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-08-21,,THE STERLINGTON BANK;,0;,N/A;,0;,N/A;,THE STERLINGTON BANK;,STERLINGTON;,LA;,16839;,Termination of Action,Cease and Desist / Consent Orders,FDIC-83-181b,15004.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4yaAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-08-22,,THE OXFORD BANK;,0;,N/A;,0;,N/A;,THE OXFORD BANK;,OXFORD;,KS;,15595;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-72b,15006.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4ykAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-08-23,,FIRST STATE BANK;,0;,N/A;,0;,N/A;,FIRST STATE BANK;,LIBERTY;,TX;,11158;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-110b,15007.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4zQAAS?operationContext=S1
ORDER WITHDRAWING NOTICE OF CHARGES AND OF HEARING,1989-08-30,,RICHMARK BANK;,0;,N/A;,0;,N/A;,RICHMARK BANK;,HOUSTON;,TX;,20240;,Withdrawal of Action,Cease and Desist / Consent Orders,FDIC-89-113b,15012.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z505AAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1989-09-05,,NICKERSON STATE BANK;,0;,N/A;,0;,N/A;,NICKERSON STATE BANK;,NICKERSON;,KS;,15793;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-121b,15013.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4HbAAK?operationContext=S1
ORDER WITHDRAWING NOTICE OF CHARGES AND OF HEARING,1989-09-11,,BENBROOK STATE BANK;,0;,N/A;,0;,N/A;,BENBROOK STATE BANK;,BENBROOK;,TX;,20723;,Withdrawal of Action,Cease and Desist / Consent Orders,FDIC-89-46b,15016.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z508AAC?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-09-13,,GARFIELD COUNTY BANK;,0;,N/A;,0;,N/A;,GARFIELD COUNTY BANK;,JORDAN;,MT;,18164;,Termination of Action,Cease and Desist / Consent Orders,FDIC-87-53b,15017.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z50dAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-09-13,1990-01-25,FIRST AMERICAN BANK AND TRUST;,0;,N/A;,0;,N/A;,FIRST AMERICAN BANK AND TRUST;,NORTH PALM BEACH;,FL;,18002;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-178b,10004.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58NAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-09-13,,FIDELITY BANK;,0;,N/A;,0;,N/A;,FIDELITY BANK;,SCOTTSDALE;,AZ;,26270;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-67b,15020.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z50mAAC?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1989-09-13,,LIBERTY BANK;,0;,N/A;,0;,N/A;,LIBERTY BANK;,PHOENIX;,AZ;,23943;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-295b,15018.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z50eAAC?operationContext=S1
ORDER TO CEASE AND DESIST,1989-09-15,1995-01-26,BANK OF ELBOW LAKE;,0;,N/A;,0;,N/A;,BANK OF ELBOW LAKE;,ELBOW LAKE;,MN;,9732;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-93b,10005.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58OAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1989-09-18,1990-11-06,CITIZENS BANK;,0;,N/A;,0;,N/A;,CITIZENS BANK;,CLARKSVILLE;,TX;,25872;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-89-181b,10006.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z58PAAS?operationContext=S1
