Order Title, Issued Date, Termination Date, Respondent, CMP Amount, NMLS ID, Restitution Amount, Restitution Comment, Bank Name, Bank City, Bank State, Cert Number, Category, Action Type, Docket Number, File Name, File URL
ORDER TO CEASE AND DESIST,1994-03-10,1995-06-15,BANK OF LOS ANGELES;,0;,N/A;,0;,N/A;,BANK OF LOS ANGELES;,WEST HOLLYWOOD;,CA;,23790;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-23b,10956.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4yGAAS?operationContext=S1
ORDER TO CEASE AND DESIST,1994-03-15,1996-02-08,CORPORATE BANK;,0;,N/A;,0;,N/A;,CORPORATE BANK;,SANTA ANA;,CA;,24195;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-31b,10958.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4yIAAS?operationContext=S1
ORDER TERMINATING AN ORDER  TO CEASE AND DESIST,1994-03-15,,CITIZENS BANK & TRUST  COMPANY;,0;,N/A;,0;,N/A;,CITIZENS BANK & TRUST  COMPANY;,COVINGTON;,LA;,16417;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-194b,15826.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UuAAK?operationContext=S1
ORDER TERMINATING ORDER TO  CEASE AND DESIST,1994-03-16,,BRAINTREE CO-OPERATIVE BANK;,0;,N/A;,0;,N/A;,BRAINTREE CO-OPERATIVE BANK;,BRAINTREE;,MA;,26570;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-1b,15827.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UvAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO  CEASE AND DESIST,1994-03-17,,CENTURY THRIFT AND LOAN  ASSOCIATION;,0;,N/A;,0;,N/A;,CENTURY THRIFT AND LOAN  ASSOCIATION;,LOS ANGELES;,CA;,26374;,Termination of Action,Cease and Desist / Consent Orders,FDIC-90-120b,15828.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UwAAK?operationContext=S1
ORDER TERMINATING ORDER TO  CEASE AND DESIST,1994-03-21,,FWB BANK;,0;,N/A;,0;,N/A;,FWB BANK;,ROCKVILLE;,MD;,22988;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-381b,15832.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5V0AAK?operationContext=S1
ORDER TERMINATING AN ORDER  TO CEASE AND DESIST,1994-03-21,,THE BANK OF BEVERLY HILLS;,0;,N/A;,0;,N/A;,THE BANK OF BEVERLY HILLS;,BEVERLY HILLS;,CA;,22414;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-172b,15829.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UxAAK?operationContext=S1
ORDER TERMINATING ORDER TO  CEASE AND DESIST,1994-03-21,,FAIRBURN BANKING COMPANY;,0;,N/A;,0;,N/A;,FAIRBURN BANKING COMPANY;,FAIRBURN;,GA;,161;,Termination of Action,Cease and Desist / Consent Orders,FDIC-90-28b,15830.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UyAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO  CEASE AND DESIST,1994-03-21,,THE BANK OF BEVERLY HILLS;,0;,N/A;,0;,N/A;,THE BANK OF BEVERLY HILLS;,BEVERLY HILLS;,CA;,22414;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-78b,15831.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5UzAAK?operationContext=S1
ORDER TERMINATING ORDER TO  CEASE AND DESIST,1994-03-22,,THE BANK OF BALTIMORE;,0;,N/A;,0;,N/A;,THE BANK OF BALTIMORE;,BALTIMORE;,MD;,16981;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-235b,15833.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5V1AAK?operationContext=S1
ORDER TERMINATING AN ORDER  TO CEASE AND DESIST,1994-03-22,,BRENTWOOD THRIFT AND LOAN  ASSOCIATION;,0;,N/A;,0;,N/A;,BRENTWOOD THRIFT AND LOAN  ASSOCIATION;,LOS ANGELES;,CA;,26995;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-200b,15834.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5V2AAK?operationContext=S1
ORDER TERMINATING AN ORDER  TO CEASE AND DESIST,1994-03-23,,WESTSIDE BANK OF SOUTHERN  CALIFORNIA;,0;,N/A;,0;,N/A;,WESTSIDE BANK OF SOUTHERN  CALIFORNIA;,LOS ANGELES;,CA;,32229;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-51b,15837.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VeAAK?operationContext=S1
ORDER TERMINATING AN ORDER  TO CEASE AND DESIST,1994-03-23,,INDEPENDENCE BANK;,0;,N/A;,0;,N/A;,INDEPENDENCE BANK;,LOS ANGELES;,CA;,18675;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-49b,15835.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VcAAK?operationContext=S1
ORDER TERMINATING ORDER  TO CEASE AND DESIST,1994-03-23,,FARMERS BANK;,0;,N/A;,0;,N/A;,FARMERS BANK;,WINDSOR;,VA;,2429;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-292b,15836.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VdAAK?operationContext=S1
ORDER TERMINATING AN ORDER  OR CEASE AND DESIST,1994-03-24,,PREMIER BANK;,0;,N/A;,0;,N/A;,PREMIER BANK;,NORTHRIDGE;,CA;,23581;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-224b,15838.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VfAAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-03-24,1995-11-14,CITIZENS STATE BANK OF MILFORD;,0;,N/A;,0;,N/A;,CITIZENS STATE BANK OF MILFORD;,MILFORD;,IL;,931;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-20b,10960.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4nhAAC?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-03-25,,CAPITAL BANK OF CALIFORNIA;,0;,N/A;,0;,N/A;,CAPITAL BANK OF CALIFORNIA;,LOS ANGELES;,CA;,23183;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-179b,15840.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VhAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-03-25,,FIRST PACIFIC BANK;,0;,N/A;,0;,N/A;,FIRST PACIFIC BANK;,BEVERLY HILLS;,CA;,20816;,Termination of Action,Cease and Desist / Consent Orders,FDIC-83-149b,15839.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VgAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-03-29,,FIRST STATE BANK;,0;,N/A;,0;,N/A;,FIRST STATE BANK;,NEW LEIPZIG;,ND;,10233;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-243b,15842.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VjAAK?operationContext=S1
ORDER TERMINATING ORDER  TO CEASE AND DESIST,1994-03-29,,THE BANK OF MYSTIC;,0;,N/A;,0;,N/A;,THE BANK OF MYSTIC;,MYSTIC;,CT;,26992;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-77b,15841.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5ViAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-03-31,,THE BANK OF CHESTER COUNTY;,0;,N/A;,0;,N/A;,THE BANK OF CHESTER COUNTY;,WEST CHESTER;,PA;,12065;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-369b,15844.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5VlAAK?operationContext=S1
DECISION AND ORDER TO CEASE AND DESIST,1994-04-05,1996-10-15,BAY BANK & TRUST CO.;,0;,N/A;,0;,N/A;,BAY BANK & TRUST CO.;,PANAMA CITY;,FL;,15169;,Adjudicated Decisions including Interlocutory or Summary Decisions,Cease and Desist / Consent Orders,FDIC-92-313b,5213.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4qQAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-04-05,,FIRST WEST BANK;,0;,N/A;,0;,N/A;,FIRST WEST BANK;HERITAGE BANK;,TEMPLE;N/A;,AZ;N/A;,22553;N/A;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-54b,15845.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WGAA0?operationContext=S1
ORDER TO CEASE AND DESIST,1994-04-06,1995-06-28,BUCKNER STATE BANK;,0;,N/A;,0;,N/A;,BUCKNER STATE BANK;,DALLAS;,TX;,18049;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-38b,10965.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4wuAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-07,,COMMUNITY SAVINGS BANK;,0;,N/A;,0;,N/A;,COMMUNITY SAVINGS BANK;,LAWRENCE;,MA;,90218;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-150b,15847.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WIAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-07,,ADVANTAGE BANK FOR SAVINGS;,0;,N/A;,0;,N/A;,ADVANTAGE BANK FOR SAVINGS;,WINTHROP;,MA;,90309;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-143b,15846.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WHAA0?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-04-08,,ACADIA STATE BANK;,0;,N/A;,0;,N/A;,ACADIA STATE BANK;,BATON ROUGE;,LA;,26668;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-222b,15848.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WJAA0?operationContext=S1
ORDER TERMINATING THE ORDER TO CEASE AND DESIST,1994-04-08,,COMMUNITY BANK OF GREATER PEORIA;,0;,N/A;,0;,N/A;,COMMUNITY BANK OF GREATER PEORIA;,EAST PEORIA;,IL;,13917;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-157b,15849.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WKAA0?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-04-13,,EMERALD CITY BANK;,0;,N/A;,0;,N/A;,EMERALD CITY BANK;,SEATTLE;,WA;,27268;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-126b,15850.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WLAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-19,,NEW ENGLAND BANK AND TRUST COMPANY;,0;,N/A;,0;,N/A;,NEW ENGLAND BANK AND TRUST COMPANY;,WINDSOR;,CT;,20536;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-48b,15852.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WMAA0?operationContext=S1
ORDER WITHDRAWING NOTICE OF INTENT TO ISSUE A SUPERVISORY PROMPT CORRECTIVE ACTION DIRECTIVE,1994-04-19,,BRENTWOOD THRIFT AND LOAN ASSOCIATION;,0;,N/A;,0;,N/A;,BRENTWOOD THRIFT AND LOAN ASSOCIATION;,LOS ANGELES;,CA;,26995;,Withdrawal of Action,Prompt Corrective Action,FDIC-93-205PCAS,15854.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WOAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-20,,POUDRE VALLEY BANK;,0;,N/A;,0;,N/A;,POUDRE VALLEY BANK;,FORT COLLINS;,CO;,23147;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-401b,15855.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WPAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-21,,THE FARMERS STATE BANK OF NORWICH;,0;,N/A;,0;,N/A;,THE FARMERS STATE BANK OF NORWICH;,NORWICH;,KS;,13691;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-158b,15856.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WuAAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-04-21,1995-03-20,STATE BANK OF INDIA (CALIFORNIA);,0;,N/A;,0;,N/A;,STATE BANK OF INDIA (CALIFORNIA);,LOS ANGELES;,CA;,23998;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-49b,10970.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4vtAAC?operationContext=S1
SUPERVISORY PROMPT CORRECTIVE ACTION DIRECTIVE,1994-04-22,1994-09-27,SUBURBAN BANK;,0;,N/A;,0;,N/A;,SUBURBAN BANK;,LAKE WORTH;,FL;,22467;,Temporary or Emergency Order,Prompt Corrective Action,FDIC-93-226PCAS,10971.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4vuAAC?operationContext=S1
ORDER WITHDRAWING NOTICE OF INTENT TO ISSUE A PROMPT CORRECTIVE ACTION DIRECTIVE ORDERING DISMISSAL,1994-04-25,,BRENTWOOD THRIFT AND LOAN ASSOCIATION;,0;,N/A;,0;,N/A;,BRENTWOOD THRIFT AND LOAN ASSOCIATION;,LOS ANGELES;,CA;,26995;,Withdrawal of Action,Prompt Corrective Action,FDIC-93-206PCAD,15857.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WvAAK?operationContext=S1
ORDER TERMINATING SUPERVISORY PROMPT CORRECTIVE ACTION DIRECTIVE,1994-04-26,,CENTURY THRIFT AND LOAN;,0;,N/A;,0;,N/A;,CENTURY THRIFT AND LOAN;,LOS ANGELES;,CA;,26374;,Termination of Action,Prompt Corrective Action,FDIC-93-156PCAS,15860.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4GkAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-26,,GREEN MOUNTAIN BANK;,0;,N/A;,0;,N/A;,GREEN MOUNTAIN BANK;,RUTLAND;,VT;,22162;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-48b,15859.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WxAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-04-26,,CORNERSTONE BANK;,0;,N/A;,0;,N/A;,CORNERSTONE BANK;,DERRY;,NH;,20011;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-18b,15858.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WwAAK?operationContext=S1
ORDER OF TERMINATION,1994-04-29,,ALASKA CONTINENTAL BANK;,0;,N/A;,0;,N/A;,ALASKA CONTINENTAL BANK;,ANCHORAGE;,AK;,24139;,Termination of Action,Cease and Desist / Consent Orders,FDIC-88-156c&b,9015.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5eVAAS?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-05-02,,ORANGE CITY BANK;,0;,N/A;,0;,N/A;,ORANGE CITY BANK;ELDORADO BANK;,ORANGE;TUSTIN;,CA;CA;,22446;20676;,Termination of Action,Cease and Desist / Consent Orders,FDIC-84-104b,15861.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WyAAK?operationContext=S1
ORDER WITHDRAWING NOTICE OF CHARGES AND OF HEARING,1994-05-02,,BANK OF COMMERCE;,0;,N/A;,0;,N/A;,BANK OF COMMERCE;,SAN DIEGO;,CA;,22142;,Withdrawal of Action,Cease and Desist / Consent Orders,FDIC-84-134b,15862.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5WzAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-05-03,,SAUGUS CO-OPERATIVE BANK;,0;,N/A;,0;,N/A;,SAUGUS CO-OPERATIVE BANK;,SAUGUS;,MA;,26574;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-47b,15863.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5X0AAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-05-04,1996-02-08,CORPORATE BANK;,0;,N/A;,0;,N/A;,CORPORATE BANK;,SANTA ANA;,CA;,24195;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-54b,10975.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4xgAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-05-05,,THE SIWOOGANOCK GUARANTY SAVINGS BANK;,0;,N/A;,0;,N/A;,THE SIWOOGANOCK GUARANTY SAVINGS BANK;,LANCASTER;,NH;,18037;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-74b,15864.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5X1AAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-05-06,1995-04-10,FIRST TRUST BANK;,0;,N/A;,0;,N/A;,FIRST TRUST BANK;,ONTARIO;,CA;,3480;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-51b,10977.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4xkAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-05-10,,COMMERCIAL BANK AND TRUST COMPANY;,0;,N/A;,0;,N/A;,COMMERCIAL BANK AND TRUST COMPANY;,LOWELL;,MA;,18332;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-298b,15866.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5X3AAK?operationContext=S1
TERMINATION OF SUPERVISORY PROMPT CORRECTIVE ACTION DIRECTIVE,1994-05-10,,COMMERCIAL BANK AND TRUST COMPANY;,0;,N/A;,0;,N/A;,COMMERCIAL BANK AND TRUST COMPANY;,LOWELL;,MA;,18332;,Termination of Action,Prompt Corrective Action,FDIC-93-235PCAS,15867.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XYAA0?operationContext=S1
ORDER TO CEASE AND DESIST,1994-05-10,1997-03-11,ELLIS COUNTY STATE BANK;,0;,N/A;,0;,N/A;,ELLIS COUNTY STATE BANK;,MILFORD;,TX;,26967;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-93-193b,10978.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4xlAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-05-10,,FIRST STATE BANK IN DAVIDSON;,0;,N/A;,0;,N/A;,FIRST STATE BANK IN DAVIDSON;,DAVIDSON;,OK;,11521;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-219b,15865.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5X2AAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-05-12,,THE SAVINGS BANK OF ROCKLAND COUNTY;,0;,N/A;,0;,N/A;,THE SAVINGS BANK OF ROCKLAND COUNTY;,SPRING VALLEY;,NY;,19423;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-210b,15868.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XZAA0?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-05-18,,BAY BANK OF COMMERCE;,0;,N/A;,0;,N/A;,BAY BANK OF COMMERCE;,SAN LEANDRO;,CA;,23342;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-118b,15871.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XcAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-05-18,,CITY THRIFT AND LOAN ASSOCIATION;,0;,N/A;,0;,N/A;,CITY THRIFT AND LOAN ASSOCIATION;,BURBANK;,CA;,26495;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-290b,15870.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XbAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-05-19,,MARITIME BANK OF CALIFORNIA;,0;,N/A;,0;,N/A;,MARITIME BANK OF CALIFORNIA;,LOS ANGELES;,CA;,23135;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-339b,15873.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XeAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-05-19,,CHEYENNE MOUNTAIN BANK;,0;,N/A;,0;,N/A;,CHEYENNE MOUNTAIN BANK;,COLORADO SPRINGS;,CO;,25719;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-93b,15872.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XdAAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-05-27,1996-05-31,BANK OF COFFEY;,0;,N/A;,0;,N/A;,BANK OF COFFEY;,COFFEY;,MO;,12738;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-55b,10990.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z55ZAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-06,,THE GREATER NEW YORK SAVINGS BANK;,0;,N/A;,0;,N/A;,THE GREATER NEW YORK SAVINGS BANK;,BROOKLYN;,NY;,16015;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-25b,15874.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XfAAK?operationContext=S1
ORDER TERMINATING AN ORDER TO CEASE AND DESIST,1994-06-07,,GREATER PACIFIC BANK;,0;,N/A;,0;,N/A;,GREATER PACIFIC BANK;KEY BANK OF OREGON;WESTERN SECURITY BANK;,ALBANY;PORTLAND;SALEM;,OR;OR;OR;,22731;9477;17541;,Termination of Action,Cease and Desist / Consent Orders,FDIC-84-73b,15875.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XgAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-13,,"THE BANK OF HARTFORD, INC.;",0;,N/A;,0;,N/A;,"THE BANK OF HARTFORD, INC.;",HARTFORD;,CT;,26909;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-201b,15876.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5XhAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-14,,COBB AMERICAN BANK & TRUST COMPANY;,0;,N/A;,0;,N/A;,COBB AMERICAN BANK & TRUST COMPANY;,MARIETTA;,GA;,26951;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-278b,15877.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YHAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-15,,VIKING BANK;,0;,N/A;,0;,N/A;,VIKING BANK;,HENDRUM;,MN;,12920;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-196b,15879.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YJAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-15,,F & M BANK OF PRESTON;,0;,N/A;,0;,N/A;,F & M BANK OF PRESTON;,PRESTON;,MN;,10967;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-329b,15878.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YIAA0?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-21,,BANK OF CRIPPLE CREEK;,0;,N/A;,0;,N/A;,BANK OF CRIPPLE CREEK;,CRIPPLE CREEK;,CO;,3007;,Termination of Action,Cease and Desist / Consent Orders,FDIC-89-183b,15880.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YKAA0?operationContext=S1
ORDER TO CEASE AND DESIST,1994-06-24,1996-02-05,THE FIRST STATE BANK OF GRAND CHAIN;,0;,N/A;,0;,N/A;,THE FIRST STATE BANK OF GRAND CHAIN;,GRAND CHAIN;,IL;,10816;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-77b,10999.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z49wAAC?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-27,,GATEWAY BANK;,0;,N/A;,0;,N/A;,GATEWAY BANK;,SOUTH NORWALK;,CT;,18241;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-106b,15881.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YrAAK?operationContext=S1
ORDER TO CEASE AND DESIST,1994-06-30,1996-03-08,FIRST BANK OF EVA;,0;,N/A;,0;,N/A;,FIRST BANK OF EVA;,EVA;,AL;,26799;,Stipulated Orders and Written Agreements,Cease and Desist / Consent Orders,FDIC-94-71b,11002.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z4wHAAS?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-06-30,,FIRST STATE BANK OF PURDY;,0;,N/A;,0;,N/A;,FIRST STATE BANK OF PURDY;,PURDY;,MO;,16162;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-174b,15882.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YsAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-07-06,,FALL RIVER FIVE CENTS SAVINGS BANK;,0;,N/A;,0;,N/A;,FALL RIVER FIVE CENTS SAVINGS BANK;,FALL RIVER;,MA;,23286;,Termination of Action,Cease and Desist / Consent Orders,FDIC-92-112b,15883.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YtAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-07-06,,CITY CO-OPERATIVE BANK;,0;,N/A;,0;,N/A;,CITY CO-OPERATIVE BANK;,HOLYOKE;,MA;,26482;,Termination of Action,Cease and Desist / Consent Orders,FDIC-93-252b,15884.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YuAAK?operationContext=S1
ORDER TERMINATING ORDER TO CEASE AND DESIST,1994-07-07,,MARLBOROUGH CO-OPERATIVE BANK;,0;,N/A;,0;,N/A;,MARLBOROUGH CO-OPERATIVE BANK;,MARLBOROUGH;,MA;,26510;,Termination of Action,Cease and Desist / Consent Orders,FDIC-91-412b,15886.html,https://orders.fdic.gov/sfc/servlet.shepherd/document/download/069t0000002Z5YwAAK?operationContext=S1
