Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"The First National Bank of Williamson","6830","","","Williamson, WV","FA","Formal Agreement","0.00","11/12/2024","AA-NE-2024-93","","","AA-NE-2024-93","Allowance for Losses (ALLL / ACL); Audit; Board / Management Oversight; Enterprise Governance / Internal Controls / General Risk Management; Lending Issues; Loan Review; Other Lending Deficiencies; Strategic Planning; Unsafe or Unsound Practices (Other)"
"The Idabel National Bank","11913","","","Idabel, OK","FA","Formal Agreement","0.00","12/16/2022","2022-068","11/07/2025","AA-SO-2025-57","AA-SO-2022-55","Appraisals; Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Legal Lending Limit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The Lemont National Bank","11715","","","Lemont, IL","FA","Formal Agreement","0.00","05/01/2024","AA-CE-2024-38","","","AA-CE-2024-38","Capital; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Liquidity; Strategic Planning"
"The National Bank of Coxsackie","1398","","","Coxsackie, NY","FA","Formal Agreement","0.00","10/16/2024","AA-NE-2024-76","12/05/2025","AA-NE-2025-59","AA-NE-2024-76","Audit; Board / Management Oversight; Capital; Internal Audit; Lending Issues; Liquidity; Loans to Insiders (incl. Reg O); Sensitivity to Market Risk; Strategic Planning"
"The National Capital Bank of Washington","4107","","","Washington, DC","FA","Formal Agreement","0.00","08/25/2015","2015-097","12/06/2017","2018-016","AA-NE-2015-67","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Compensation; Concentration Risk Management; Credit/Collateral Exceptions; External Audit; Insider Issues; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"The National Iron Bank","1214","","","Salisbury, CT","FA","Formal Agreement","0.00","07/11/2023","2023-021","09/17/2025","AA-NE-2025-21","AA-NE-2023-24","Asset Quality; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA Violation Cited; BSA/AML; Capital; Concentration Risk Management; Customer/Enhanced Due Diligence (CDD/EDD); Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"The National Republic Bank of Chicago","14399","","","Chicago, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/31/2013","2013-101","10/24/2014","","AA-EC-2013-60","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA/AML; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); External Audit; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Third Party Risk Management"
"The Northumberland National Bank","7005","","","Northumberland, PA","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","05/05/2016","2016-057","08/21/2018","2018-078","AA-NE-2016-32","Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA/AML; Customer/Enhanced Due Diligence (CDD/EDD); SAR/CTR Monitoring/Filing Issue; Securities Activities; Trading & Securities; Trading Issues; Trust Activities"
"The Oculina Bank","717955","","","Ft. Pierce, FL","FA","Formal Agreement","0.00","07/18/2012","2012-189","02/06/2014","2014-023","","Allowance for Losses (ALLL / ACL); Asset Quality; BSA Independent Testing/Audit; BSA Internal Controls; BSA Training; BSA/AML; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Earnings; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Strategic Planning"
"The Somerville National Bank","9859","","","Somerville, OH","FA","Formal Agreement","0.00","06/12/2013","2013-076","03/29/2016","2016-036","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; Compensation; Compliance Risk Management; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Flood Insurance; Insider Issues; Internal Audit; Lending Issues; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Trading & Securities"
"The Upstate National Bank","12018","","","Ogdensburg, NY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","11/16/2023","2023-035","12/18/2025","AA-NE-2025-65","AA-NE-2023-59","Board / Management Oversight; Capital; Inaccurate / Incomplete / False Books and Records; Liquidity; Sensitivity to Market Risk; Strategic Planning; Third Party Risk Management"
"TIAA-CREF  Trust Company FSB","715018","","","St. Louis, MO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","06/28/2013","2013-071","10/09/2015","2015-117","AA-NE-2013-44","Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA Training; BSA/AML; Capital; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Liquidity; SAR/CTR Monitoring/Filing Issue; Sensitivity to Market Risk; Strategic Planning"
"Touchmark National Bank","24789","","","Alpharetta, GA","FA","Formal Agreement","0.00","04/17/2024","AA-SO-2024-25","02/17/2026","","AA-SO-2024-25","Audit; Board / Management Oversight; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Transact Bank, National Association","8004","","","Denver, CO","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","03/30/2021","2021-013","","","AA-WE- 2021-6","Board / Management Oversight; BSA/AML; Capital; Compensation; Earnings; Enterprise Governance / Internal Controls / General Risk Management; Insider Issues; Noncompliance with Enforcement Action; Strategic Planning; Trust Activities"
"Trustco Bank","707635","","","Glenville, NY","FA","Formal Agreement","0.00","07/21/2015","2015-085","02/07/2018","2018-018","","Audit; Board / Management Oversight; Capital; Compliance Risk Management; Consumer Law; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Tulsa National Bank","18427","","","Tulsa, OK","FA","Formal Agreement","0.00","02/28/2012","2012-075","12/17/2012","2012-272","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"United Bank","707756","","","Springdale, AR","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","04/19/2012","2012-091","10/30/2013","2013-183","","Appraisals; Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Investment/Other than Temporary Impairment; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Trading & Securities"
"United Fidelity Bank, F.S.B.","703676","","","Evansville, IN","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/31/2023","2023-031","","","AA-CE-2023-40","Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning; Trading & Securities"
"United Trust Bank","716310","","","Palos Heights, IL","FA","Formal Agreement","0.00","12/18/2019","2019-071","03/15/2023","2023-007","AA-EC-2019-89","Capital; Consumer Law; Credit/Collateral Exceptions; Earnings; General IT Controls; Information Technology; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"United Trust Bank","716310","","","Palos Heights, IL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","08/15/2012","2012-185","12/18/2019","2019-074","AA-EC-2019-93","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Inaccurate / Incomplete / False Books and Records; Lending Issues; Liquidity; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Unity National Bank of Houston","21008","","","Houston, TX","FA","Formal Agreement","0.00","08/30/2022","2022-033","02/09/2026","AA-ENF-2026-9","AA-SO-2022-9","Affiliate Transactions (incl. Reg W); Allowance for Losses (ALLL / ACL); Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Enterprise Governance / Internal Controls / General Risk Management; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
"Urban Trust Bank","706859","","","Lake Mary, FL","FA","Formal Agreement","0.00","07/18/2012","2012-190","11/12/2013","2013-220","","Asset Quality; BSA Internal Controls; BSA/AML; Compliance Risk Management; Consumer Law; Flood Insurance; Lending Issues; Other Lending Deficiencies; SAR/CTR Monitoring/Filing Issue; Strategic Planning; Third Party Risk Management"
"USAA Federal Savings Bank","707975","","","Phoenix, AZ","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/18/2024","AA-ENF-2024-96","","","AA-ENF-2024-96","Affiliate Transactions (incl. Reg W); Audit; Board / Management Oversight; BSA Program Violation / 12 CFR 21.21; BSA SAR Violation / 12 CFR 21.11 or 163.180; BSA Violation Cited; BSA/AML; Compensation; Compliance Risk Management; Consumer Law; Earnings; Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; GLBA (12 CFR 30, Appx B); Heightened Standards (12 CFR 30, Appx D); Information Technology; Insider Issues; Internal Audit; Noncompliance with Enforcement Action; SAR/CTR Monitoring/Filing Issue; Third Party Risk Management; Unfair or Deceptive (UDAP)"
"Vast Bank, National Association","17174","","","Tulsa, OK","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/23/2023","2023-032","09/05/2025","AA-SO-2025-49","AA-SO-2023-44","Capital; Enterprise Governance / Internal Controls / General Risk Management; General IT Controls; Inaccurate / Incomplete / False Books and Records; Information Technology; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"Warsaw FS & LA","701158","","","Cincinnati, OH","FA","Formal Agreement","0.00","04/01/2015","2015-036","03/12/2020","2022-035","","Allowance for Losses (ALLL / ACL); Appraisals; Audit; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA/AML; Capital; Concentration Risk Management; Consumer Law; Credit/Collateral Exceptions; Earnings; Internal Audit; Lending Issues; Liquidity; Loan Review; OFAC Compliance Issue; OREO; Other Lending Deficiencies; Problem Loan Identification; SAR/CTR Monitoring/Filing Issue; Sensitivity to Market Risk; Strategic Planning; Third Party Risk Management"
"West Valley National Bank","24683","","","Goodyear, AZ","FA","Formal Agreement","0.00","03/29/2021","2021-014","07/25/2024","AA-WE-2024-73","AA-WE-2021-12","Board / Management Oversight; BSA Independent Testing/Audit; BSA Internal Controls; BSA Officer; BSA Risk Assessment; BSA/AML; Capital; Concentration Risk Management; Customer/Enhanced Due Diligence (CDD/EDD); Lending Issues; Strategic Planning"
"Westbury Bank","717893","","","West Bend, WI","FA","Formal Agreement","0.00","10/29/2012","2012-254","12/24/2013","2013-217","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Other Lending Deficiencies; Problem Loan Identification"
"Worthington Federal Bank","708569","","","Huntsville, AL","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","12/05/2012","2012-264","09/30/2016","","AA-EC-12-151","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; OREO; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning"
