Institution,CharterNumber,Company,Individual,Location,TypeCode,Type,Amount,StartDate,StartDocuments,TerminationDate,TerminationDocuments,DocketNumber,SubjectMatters
"Quontic Bank","717974","","","New York, NY","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","10/05/2022","2022-048","","","AA-ENF-2022-25","Appraisals; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Internal Audit; Lending Issues; Liquidity; Noncompliance with Enforcement Action; Other Lending Deficiencies; Strategic Planning; Third Party Risk Management"
"Quontic Bank","717974","","","Astoria, NY","FA","Formal Agreement","0.00","10/29/2018","2018-093","10/05/2022","2022-058","","Board / Management Oversight; Capital; Liquidity; Sensitivity to Market Risk; Strategic Planning"
"Quontic Bank","717974","","","Astoria, NY","FA","Formal Agreement","0.00","07/22/2014","2014-102","09/24/2015","2015-118","AA-NE-2014-74","Allowance for Losses (ALLL / ACL); Board / Management Oversight; BSA/AML; Capital; Compliance Risk Management; Customer/Enhanced Due Diligence (CDD/EDD); Earnings; Enterprise Governance / Internal Controls / General Risk Management; Inaccurate / Incomplete / False Books and Records; Insider Issues; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Strategic Planning; Violation Cited (Other)"
"Republicbankaz, National Association","24636","","","Phoenix, AZ","FA","Formal Agreement","0.00","05/31/2013","2013-073","07/27/2016","2016-071","","Asset Quality; Audit; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Internal Audit; Lending Issues; Liquidity; Loan Review; Other Lending Deficiencies; Problem Loan Identification; Sensitivity to Market Risk; Strategic Planning"
"Resolute Bank","718042","","","Maumee, OH","PCAD","Prompt Corrective Action (PCA) Directive","0.00","09/18/2019","2019-056","10/25/2019","","AA-EC-2019-68","Allowance for Losses (ALLL / ACL); Asset Quality; Capital; Compensation; Credit/Collateral Exceptions; Insider Issues; Lending Issues; Loan Review; Loans to Insiders (incl. Reg O); Problem Loan Identification; Prompt Corrective Action; Third Party Risk Management"
"Resolute Bank","718042","","","Maumee, OH","C&D","Cease-and-Desist Order (C&D) or Personal Cease-and-Desist Order (PC&D)","0.00","09/05/2018","2018-072","10/25/2019","","AA-EC-2018-51","Affiliate Transactions (incl. Reg W); Asset Quality; Audit; Board / Management Oversight; Capital; Compensation; Compliance Risk Management; General IT Controls; GLBA (12 CFR 30, Appx B); Inaccurate / Incomplete / False Books and Records; Information Technology; Insider Issues; Internal Audit; Lending Issues; Liquidity; Other Lending Deficiencies; Problem Loan Identification; Sales Practices; Strategic Planning; Third Party Risk Management"
"Riverview Community Bank","704347","","","Camas, WA","FA","Formal Agreement","0.00","01/25/2012","2012-013","04/02/2014","2014-059","","Allowance for Losses (ALLL / ACL); Asset Quality; Board / Management Oversight; Capital; Concentration Risk Management; Credit/Collateral Exceptions; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
"Rockland Savings Bank, FSB","701454","","","Rockland, ME","FA","Formal Agreement","0.00","01/17/2017","2017-008","08/30/2018","2018-071","AA-NE-2017-11","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Audit; Board / Management Oversight; BSA Internal Controls; BSA Officer; BSA Training; BSA/AML; Capital; Credit/Collateral Exceptions; Customer/Enhanced Due Diligence (CDD/EDD); Enterprise Governance / Internal Controls / General Risk Management; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; OREO; Other Lending Deficiencies; SAR/CTR Monitoring/Filing Issue; Securities Activities; Strategic Planning; Trading & Securities"
"Roebling Bank","706923","","","Roebling, NJ","FA","Formal Agreement","0.00","07/23/2012","2012-192","07/02/2013","","","Asset Quality; Audit; Board / Management Oversight; Capital; Earnings; General IT Controls; GLBA (12 CFR 30, Appx B); Information Technology; Internal Audit; Lending Issues; Liquidity; Other Lending Deficiencies"
"Ruby Valley National Bank","11008","","","Twin Bridges, MT","FA","Formal Agreement","0.00","06/12/2013","2013-074","02/01/2016","2016-014","","Allowance for Losses (ALLL / ACL); Appraisals; Asset Quality; Board / Management Oversight; Capital; Credit/Collateral Exceptions; Legal Lending Limit; Lending Issues; Loan Review; Other Lending Deficiencies; Problem Loan Identification"
